cik,year
0000722830,2018
0000722830,2019
0000831327,2009
0000831327,2010
0000831327,2011
0001114995,2018
0001114995,2019
0001114995,2020
0001114995,2021
0001114995,2022
0000879169,2007
0000879169,2008
0000879169,2009
0000879169,2010
0000879169,2011
0000879169,2012
0000879169,2013
0001113148,2008
0001113148,2009
0001113148,2010
0001113148,2011
0001113148,2012
0001113148,2013
0001113148,2014
0001138639,2009
0001138639,2010
0001138639,2011
0001138639,2012
0001138639,2013
0001138639,2014
0001138639,2015
0001699150,2018
0001699150,2019
0001699150,2020
0001699150,2021
0001699150,2022
0001653477,2014
0001653477,2015
0001653477,2016
0001653477,2017
0001653477,2018
0001653477,2019
0001653477,2020
0001653477,2021
0000050493,2011
0000050493,2012
0000050493,2013
0000050493,2014
0000050493,2015
0000050493,2016
0000050493,2017
0000050493,2018
0001104506,2013
0001104506,2014
0001104506,2015
0001104506,2016
0001104506,2017
0001054905,2006
0001054905,2007
0001054905,2008
0001054905,2009
0001054905,2010
0001054905,2011
0001054905,2012
0001054905,2013
0001054905,2014
0001054905,2015
0001054905,2016
0001054905,2017
0001054905,2018
0001054905,2019
0001054905,2020
0001054905,2021
0001160958,2009
0001160958,2010
0001160958,2011
0001160958,2012
0001160958,2013
0001160958,2014
0001160958,2015
0001160958,2016
0001160958,2017
0001160958,2018
0001160958,2019
0001160958,2020
0001609550,2016
0001609550,2017
0001609550,2018
0001609550,2019
0001609550,2020
0001609550,2021
0001609550,2022
0001055726,2013
0001055726,2014
0001055726,2015
0001055726,2016
0001055726,2017
0001055726,2018
0001055726,2019
0001055726,2020
0001055726,2021
0001294133,2013
0001294133,2014
0001294133,2015
0001294133,2016
0001294133,2017
0001294133,2018
0001294133,2019
0001080014,2008
0001080014,2009
0001080014,2010
0001080014,2011
0001080014,2012
0001080014,2013
0001080014,2014
0001022652,2008
0001022652,2009
0001022652,2010
0001022652,2011
0001022652,2012
0001022652,2013
0001022652,2014
0001022652,2015
0001022652,2016
0001022652,2017
0001022652,2018
0001022652,2019
0001022652,2020
0001022652,2021
0001022652,2022
0001145197,2011
0001145197,2012
0001145197,2013
0001145197,2014
0001145197,2015
0001145197,2016
0001145197,2017
0000917520,2009
0000917520,2010
0000917520,2011
0000917520,2012
0000917520,2013
0000917520,2014
0000917520,2015
0000703361,2016
0000703361,2017
0000703361,2018
0000854701,2008
0000854701,2009
0000854701,2010
0000854701,2011
0000854701,2012
0000854701,2013
0000854701,2014
0001516479,2014
0001516479,2015
0001516479,2016
0001516479,2017
0001516479,2018
0001652130,2018
0001652130,2019
0001652130,2020
0001652130,2021
0001652130,2022
0000822663,2016
0000822663,2017
0000822663,2018
0000822663,2019
0000822663,2020
0000822663,2021
0000822663,2022
0001270073,2013
0001270073,2014
0001270073,2015
0001270073,2016
0001270073,2017
0001270073,2018
0001270073,2019
0000715787,2013
0000715787,2014
0000715787,2015
0000715787,2016
0000715787,2017
0000715787,2018
0000715787,2019
0001311241,2009
0001311241,2010
0001311241,2011
0001311241,2012
0001311241,2013
0001311241,2014
0001311241,2015
0000051253,2012
0000051253,2013
0000051253,2014
0000051253,2015
0000051253,2016
0000051253,2017
0000051253,2018
0000051253,2019
0000051253,2020
0000051253,2021
0001096325,2006
0001096325,2007
0001096325,2008
0001096325,2009
0001096325,2010
0001096325,2011
0001096325,2012
0001096325,2013
0001096325,2014
0001096325,2015
0001271214,2016
0001271214,2017
0001271214,2018
0001271214,2019
0001271214,2020
0001271214,2021
0001036262,2016
0001036262,2017
0001036262,2018
0001036262,2019
0001036262,2020
0001036262,2021
0001036262,2022
0001567514,2013
0001567514,2014
0001567514,2015
0001567514,2016
0001567514,2017
0001567514,2018
0001567514,2019
0001567514,2020
0001567514,2021
0001567514,2022
0001035267,2008
0001035267,2009
0001035267,2010
0001035267,2011
0001035267,2012
0001035267,2013
0001035267,2014
0001035267,2015
0001035267,2016
0001035267,2017
0001035267,2018
0001035267,2019
0001035267,2020
0001035267,2021
0001035267,2022
0000088790,2016
0000088790,2017
0000088790,2018
0000088790,2019
0000088790,2020
0000088790,2021
0001294924,2010
0001294924,2011
0001294924,2012
0001294924,2013
0001294924,2014
0001294924,2015
0001294924,2016
0000874015,2008
0000874015,2009
0000874015,2010
0000874015,2011
0000874015,2012
0000874015,2013
0000874015,2014
0000874015,2015
0000874015,2016
0000874015,2017
0000874015,2018
0000874015,2019
0001425205,2015
0001425205,2016
0001425205,2017
0001425205,2018
0001425205,2019
0001425205,2020
0001425205,2021
0001006045,2008
0001006045,2009
0001006045,2010
0001006045,2011
0001006045,2012
0001006045,2013
0001006045,2014
0001159167,2018
0001159167,2019
0001159167,2020
0001159167,2021
0001159167,2022
0001446847,2008
0001446847,2009
0001446847,2010
0001446847,2011
0001446847,2012
0001446847,2013
0001446847,2014
0001446847,2015
0001446847,2016
0001446847,2017
0001446847,2018
0001446847,2019
0001446847,2020
0001446847,2021
0001446847,2022
0000350868,2009
0000350868,2010
0000350868,2011
0000350868,2012
0000350868,2013
0000350868,2014
0000350868,2015
0000780571,2016
0000780571,2017
0000780571,2018
0000780571,2019
0000780571,2020
0000780571,2021
0000780571,2022
0001410939,2012
0001410939,2013
0001410939,2014
0001410939,2015
0001410939,2016
0001410939,2017
0001410939,2018
0001410939,2019
0001410939,2020
0001410939,2021
0001410939,2022
0000945699,2008
0000945699,2009
0000945699,2010
0000945699,2011
0000945699,2012
0000945699,2013
0000945699,2014
0000945699,2015
0000945699,2016
0000945699,2017
0000785956,2009
0000785956,2010
0000785956,2011
0000785956,2012
0000785956,2013
0000785956,2014
0000785956,2015
0000785956,2016
0000785956,2017
0000785956,2018
0000785956,2019
0000785956,2020
0000785956,2021
0001433660,2015
0001433660,2016
0001433660,2017
0001433660,2018
0001433660,2019
0001433660,2020
0001433660,2021
0000788329,2009
0000788329,2010
0000788329,2011
0000788329,2012
0000788329,2013
0000788329,2014
0000788329,2015
0000788329,2016
0000788329,2017
0000788329,2018
0001640455,2015
0001640455,2016
0001640455,2017
0001640455,2018
0001640455,2019
0001640455,2020
0001640455,2021
0000801898,2012
0000801898,2013
0000801898,2014
0000801898,2015
0000801898,2016
0000821995,2008
0000821995,2009
0000821995,2010
0000821995,2011
0000821995,2012
0000821995,2013
0000821995,2014
0000821995,2015
0000821995,2016
0000821995,2017
0001043604,2010
0001043604,2011
0001043604,2012
0001043604,2013
0001043604,2014
0001043604,2015
0001043604,2016
0001594864,2013
0001594864,2014
0001594864,2015
0001594864,2016
0001594864,2017
0001028215,2008
0001028215,2009
0001028215,2010
0001028215,2011
0001028215,2012
0001028215,2013
0001028215,2014
0001028215,2015
0001028215,2016
0001028215,2017
0001028215,2018
0001499807,2011
0001499807,2012
0001499807,2013
0001499807,2014
0001499807,2015
0001499807,2016
0001499807,2017
0000886346,2010
0000886346,2011
0000886346,2012
0000886346,2013
0000886346,2014
0000886346,2015
0000886346,2016
0000886346,2017
0000886346,2018
0001557142,2015
0001557142,2016
0001557142,2017
0001557142,2018
0001557142,2019
0001557142,2020
0000811596,2015
0000811596,2016
0000811596,2017
0000811596,2018
0000811596,2019
0000811596,2020
0000811596,2021
0000054381,2007
0000054381,2008
0000054381,2009
0000054381,2010
0000054381,2011
0000054381,2012
0000054381,2013
0000054381,2014
0000054381,2015
0000054381,2016
0000054381,2017
0000054381,2018
0000054381,2019
0000054381,2020
0000054381,2021
0000054381,2022
0001325281,2011
0001325281,2012
0001325281,2013
0001325281,2014
0001325281,2015
0001325281,2016
0001325281,2017
0001771917,2018
0001771917,2019
0001771917,2020
0001771917,2021
0001771917,2022
0001503802,2013
0001503802,2014
0001503802,2015
0001503802,2016
0001503802,2017
0001503802,2018
0001503802,2019
0001503802,2020
0001503802,2021
0000740694,2010
0000740694,2011
0000740694,2012
0000887730,2011
0000887730,2012
0000887730,2013
0000887730,2014
0000887730,2015
0000887730,2016
0000887730,2017
0000055242,2006
0000055242,2007
0000055242,2008
0000055242,2009
0000055242,2010
0000055242,2011
0000055242,2012
0000055529,2008
0000055529,2009
0000055529,2010
0000055529,2011
0000055529,2012
0000055529,2013
0000055529,2014
0000055529,2016
0000055529,2017
0000055529,2018
0000055529,2019
0000055529,2020
0000055529,2021
0000055529,2022
0000906193,2008
0000906193,2009
0000906193,2010
0000906193,2011
0000906193,2012
0000906193,2013
0000906193,2014
0001601046,2014
0001601046,2015
0001601046,2016
0001601046,2017
0001601046,2018
0001601046,2019
0001601046,2020
0001601046,2021
0001601046,2022
0001606757,2018
0001606757,2019
0001606757,2020
0001606757,2021
0001606757,2022
0001561743,2013
0001561743,2014
0001561743,2015
0001561743,2016
0001561743,2017
0001561743,2018
0001561743,2019
0001561743,2020
0001047699,2006
0001047699,2007
0001047699,2008
0001047699,2009
0001587523,2011
0001587523,2012
0001587523,2013
0001587523,2014
0001587523,2015
0001587523,2016
0001587523,2017
0001468748,2016
0001468748,2017
0001468748,2018
0001468748,2019
0001468748,2020
0001468748,2021
0001468748,2022
0001265572,2010
0001265572,2011
0001265572,2012
0001265572,2013
0001265572,2014
0001265572,2015
0001265572,2016
0001265572,2017
0001265572,2018
0000771266,2009
0000771266,2010
0000771266,2011
0000771266,2012
0000771266,2013
0000771266,2014
0000771266,2015
0001315257,2007
0001315257,2008
0001315257,2009
0001315257,2010
0001315257,2011
0001315257,2012
0001315257,2013
0001315257,2014
0001315257,2015
0001315257,2016
0001315257,2017
0001315257,2018
0001315257,2019
0001315257,2020
0001315257,2021
0001321646,2012
0001321646,2013
0001321646,2014
0001321646,2015
0001321646,2016
0001321646,2017
0001321646,2018
0001257640,2006
0001257640,2007
0001257640,2008
0001257640,2009
0001257640,2010
0001257640,2011
0001257640,2012
0001257640,2013
0001257640,2014
0001257640,2015
0001257640,2016
0001257640,2017
0001257640,2018
0001257640,2019
0001257640,2020
0001257640,2021
0001711279,2016
0001711279,2017
0001711279,2018
0001711279,2019
0001711279,2020
0001711279,2021
0001422143,2015
0001422143,2016
0001422143,2017
0001422143,2018
0001422143,2019
0001422143,2020
0001422143,2021
0001422143,2022
0000763744,2009
0000763744,2010
0000763744,2011
0000763744,2012
0000763744,2013
0000763744,2014
0000763744,2015
0000763744,2016
0000763744,2017
0000763744,2018
0000763744,2019
0000763744,2020
0000763744,2021
0000763744,2022
0000060714,2014
0000060714,2015
0000060714,2016
0000060714,2017
0000060714,2018
0000060714,2019
0000060714,2020
0000763532,2013
0000763532,2014
0000763532,2015
0000763532,2016
0000763532,2017
0000763532,2018
0000763532,2019
0000202058,2010
0000202058,2011
0000202058,2012
0000202058,2013
0000202058,2014
0000202058,2015
0000202058,2016
0000920465,2013
0000920465,2014
0000920465,2015
0000920465,2016
0000920465,2017
0000920465,2018
0000920465,2019
0000920465,2020
0000920465,2021
0000707549,2006
0000707549,2007
0000707549,2008
0000707549,2009
0000707549,2010
0000057515,2015
0000057515,2016
0000057515,2017
0000057515,2018
0000057515,2019
0000057515,2020
0000057515,2021
0001005286,2006
0001005286,2007
0001005286,2008
0001005286,2009
0001005286,2010
0001005286,2011
0001005286,2012
0001005286,2013
0001005286,2014
0001005286,2015
0001005286,2016
0001005286,2017
0001005286,2018
0001005286,2019
0001005286,2020
0001005286,2021
0001005286,2022
0000799288,2012
0000799288,2013
0000799288,2014
0000799288,2015
0000799288,2016
0000799288,2017
