cik,year
0000912603,2017
0000912603,2018
0000912603,2019
0000912603,2020
0000912603,2021
0000912603,2022
0001727196,2016
0001727196,2017
0001727196,2018
0001727196,2019
0001727196,2020
0001727196,2021
0001727196,2022
0001000623,2009
0001000623,2010
0001000623,2011
0001000623,2012
0001000623,2013
0001000623,2014
0001000623,2015
0001000623,2016
0001000623,2017
0001000623,2018
0001000623,2019
0001000623,2020
0001000623,2021
0000880771,2012
0000880771,2013
0000880771,2014
0000880771,2015
0000880771,2016
0000750004,2008
0000750004,2009
0000750004,2010
0000750004,2011
0000750004,2012
0000750004,2013
0000750004,2014
0001637761,2016
0001637761,2017
0001637761,2018
0001637761,2019
0001637761,2020
0001637761,2021
0001390478,2016
0001390478,2017
0001390478,2018
0001390478,2019
0001390478,2020
0001390478,2021
0001390478,2022
0001489136,2010
0001489136,2011
0001489136,2012
0001489136,2013
0001489136,2014
0001489136,2015
0001489136,2016
0001489136,2017
0001489136,2018
0001554859,2020
0001554859,2021
0001554859,2022
0001357459,2014
0001357459,2015
0001357459,2016
0001357459,2017
0001357459,2018
0001357459,2019
0001357459,2020
0001123979,2010
0001123979,2011
0001123979,2012
0001123979,2013
0001123979,2014
0001123979,2015
0001123979,2016
0000310142,2006
0000310142,2007
0000310142,2008
0000310142,2009
0000310142,2010
0000310142,2011
0000310142,2012
0000310142,2013
0000310142,2014
0000310142,2015
0000310142,2016
0000310142,2017
0000310142,2018
0000310142,2019
0000310142,2020
0000310142,2021
0001620533,2012
0001620533,2013
0001620533,2014
0001620533,2015
0001620533,2016
0001620533,2017
0001620533,2018
0000089800,2006
0000089800,2007
0000089800,2008
0000089800,2009
0000089800,2010
0000089800,2011
0000089800,2012
0000089800,2013
0000089800,2014
0000089800,2015
0000089800,2016
0000089800,2017
0000089800,2018
0000089800,2019
0000089800,2020
0000089800,2021
0001642545,2018
0001642545,2019
0001642545,2020
0001642545,2021
0001642545,2022
0001831651,2020
0001831651,2021
0001831651,2022
0001388133,2010
0001388133,2011
0001388133,2012
0001388133,2013
0001388133,2014
0001388133,2015
0001388133,2016
0001388133,2017
0001551693,2016
0001551693,2017
0001551693,2018
0001551693,2019
0001551693,2020
0001551693,2021
0001551693,2022
0000790715,2009
0000790715,2010
0000790715,2011
0000790715,2012
0000790715,2013
0000790715,2014
0000790715,2015
0000790715,2016
0000790715,2017
0000790715,2018
0000915358,2009
0000915358,2010
0000915358,2011
0000915358,2012
0000915358,2013
0000915358,2014
0000915358,2015
0000915358,2016
