cik,year
0001016169,2021
0001167178,2009
0001167178,2010
0001167178,2011
0001492422,2015
0001492422,2016
0001492422,2017
0001492422,2018
0001492422,2019
0001492422,2020
0001492422,2021
0001492422,2022
0000006845,2018
0000006845,2019
0000006845,2020
0000006845,2021
0000006845,2022
0001251769,2016
0001251769,2017
0001251769,2018
0001251769,2019
0001251769,2020
0001251769,2021
0001251769,2022
0001273636,2015
0001273636,2016
0001273636,2017
0001273636,2018
0001273636,2019
0001273636,2020
0001273636,2021
0000711065,2008
0000711065,2009
0000711065,2010
0000711065,2011
0000711065,2012
0000711065,2013
0000711065,2014
0000711065,2015
0000711065,2016
0000896622,2006
0000896622,2007
0000896622,2008
0000896622,2009
0000896622,2010
0000896622,2011
0000896622,2012
0000896622,2013
0000896622,2014
0000896622,2015
0000896622,2016
0000896622,2017
0000896622,2018
0000896622,2019
0001671584,2015
0001671584,2016
0001671584,2017
0001671584,2018
0001671584,2019
0001671584,2020
0001671584,2021
0000719135,2008
0000719135,2009
0000719135,2010
0000719135,2011
0000719135,2012
0000719135,2013
0000719135,2014
0000719135,2018
0000719135,2019
0000719135,2020
0000719135,2021
0000719135,2022
0001584509,2015
0001584509,2016
0001584509,2017
0001584509,2018
0001584509,2019
0001584509,2020
0001584509,2021
0001513818,2013
0001513818,2014
0001513818,2015
0001513818,2016
0001513818,2017
0001513818,2018
0001513818,2019
0001513818,2020
0001513818,2021
0001513818,2022
0001389050,2006
0001389050,2007
0001389050,2008
0001389050,2009
0001389050,2010
0001389050,2011
0001389050,2012
0001389050,2013
0001389050,2014
0001389050,2015
0001389050,2016
0001389050,2017
0001389050,2018
0001389050,2019
0001389050,2020
0001389050,2021
0001389050,2022
0001437402,2012
0001437402,2013
0001437402,2014
0001437402,2015
0001437402,2016
0001437402,2017
0001437402,2018
0001437402,2019
0001437402,2020
0001437402,2021
0001437402,2022
0001724521,2016
0001724521,2017
0001724521,2018
0001724521,2019
0001724521,2020
0001724521,2021
0001724521,2022
0001768224,2018
0001768224,2019
0001768224,2020
0001768224,2021
0001768224,2022
0001080709,2012
0001080709,2013
0001080709,2014
0001080709,2015
0001080709,2016
0001080709,2017
0001080709,2018
0000884731,2007
0000884731,2008
0000884731,2009
0000884731,2010
0000884731,2011
0000884731,2012
0000884731,2013
0000884731,2014
0000884731,2015
0001596532,2014
0001596532,2015
0001596532,2016
0001596532,2017
0001596532,2018
0001596532,2019
0001596532,2020
0001596532,2021
0001596532,2022
0001736946,2018
0001736946,2019
0001736946,2020
0001736946,2021
0001736946,2022
0001655075,2019
0001655075,2020
0001655075,2021
0001019695,2008
0001019695,2009
0001019695,2010
0001019695,2011
0001019695,2012
0001019695,2013
0001019695,2014
0001019695,2015
0001019695,2016
0001019695,2017
0001019695,2018
0001100412,2012
0001100412,2013
0001100412,2014
0001100412,2015
0001100412,2016
0001100412,2017
0001100412,2018
